# Parameters{boundary_condition_0=1.000000;boundary_condition_1=-1.000000;diffusivity=1.000000;space_max=15.707963;space_points=100;time_max=5.000000;time_points=1001;};
# time=4.250000;time_point=850;
# space;temperature;
0.000000 1.000000
0.158666 0.948951
0.317333 0.898106
0.475999 0.847663
0.634665 0.797822
0.793331 0.748772
0.951998 0.700697
1.110664 0.653772
1.269330 0.608160
1.427997 0.564010
1.586663 0.521459
1.745329 0.480630
1.903996 0.441628
2.062662 0.404540
2.221328 0.369438
2.379994 0.336374
2.538661 0.305384
2.697327 0.276483
2.855993 0.249670
3.014660 0.224927
3.173326 0.202217
3.331992 0.181489
3.490659 0.162676
3.649325 0.145700
3.807991 0.130468
3.966657 0.116878
4.125324 0.104819
4.283990 0.094174
4.442656 0.084820
4.601323 0.076630
4.759989 0.069478
4.918655 0.063237
5.077321 0.057783
5.235988 0.052995
5.394654 0.048758
5.553320 0.044966
5.711987 0.041519
5.870653 0.038327
6.029319 0.035311
6.187986 0.032401
6.346652 0.029540
6.505318 0.026682
6.663984 0.023790
6.822651 0.020840
6.981317 0.017817
7.139983 0.014716
7.298650 0.011538
7.457316 0.008294
7.615982 0.004998
7.774648 0.001670
7.933315 -0.001670
8.091981 -0.004998
8.250647 -0.008294
8.409314 -0.011538
8.567980 -0.014716
8.726646 -0.017817
8.885313 -0.020840
9.043979 -0.023790
9.202645 -0.026682
9.361311 -0.029540
9.519978 -0.032401
9.678644 -0.035311
9.837310 -0.038327
9.995977 -0.041519
10.154643 -0.044966
10.313309 -0.048758
10.471976 -0.052995
10.630642 -0.057783
10.789308 -0.063237
10.947974 -0.069478
11.106641 -0.076630
11.265307 -0.084820
11.423973 -0.094174
11.582640 -0.104819
11.741306 -0.116878
11.899972 -0.130468
12.058638 -0.145700
12.217305 -0.162676
12.375971 -0.181489
12.534637 -0.202217
12.693304 -0.224927
12.851970 -0.249670
13.010636 -0.276483
13.169303 -0.305384
13.327969 -0.336374
13.486635 -0.369438
13.645301 -0.404540
13.803968 -0.441628
13.962634 -0.480630
14.121300 -0.521459
14.279967 -0.564010
14.438633 -0.608160
14.597299 -0.653772
14.755965 -0.700697
14.914632 -0.748772
15.073298 -0.797822
15.231964 -0.847663
15.390631 -0.898106
15.549297 -0.948951
15.707963 -1.000000
